head,head_type,relation,tail,tail_type,movie_id
Tangled,电影,主演,Donna Murphy,演员,38757
Tangled,电影,主演,Ron Perlman,演员,38757
Tangled,电影,主演,M.C. Gainey,演员,38757
Tangled,电影,属于类型,Animation,类型,38757
Tangled,电影,属于类型,Family,类型,38757
Tangled,电影,描述关键词,Flynn,关键词,38757
Tangled,电影,描述关键词,Rider,关键词,38757
Tangled,电影,描述关键词,Rapunzel,关键词,38757
Avengers: Age of Ultron,电影,执导,Joss Whedon,导演,99861
Avengers: Age of Ultron,电影,上映年份,2015年,年份,99861
Avengers: Age of Ultron,电影,制片国家,United States of America,国家,99861
Avengers: Age of Ultron,电影,评分,7.3分,评分值,99861
Avengers: Age of Ultron,电影,主演,Robert Downey Jr.,演员,99861
Avengers: Age of Ultron,电影,主演,Chris Hemsworth,演员,99861
Avengers: Age of Ultron,电影,主演,Mark Ruffalo,演员,99861
Avengers: Age of Ultron,电影,主演,Chris Evans,演员,99861
Avengers: Age of Ultron,电影,主演,Scarlett Johansson,演员,99861
Avengers: Age of Ultron,电影,属于类型,Action,类型,99861
Avengers: Age of Ultron,电影,属于类型,Adventure,类型,99861
Avengers: Age of Ultron,电影,属于类型,Science Fiction,类型,99861
Avengers: Age of Ultron,电影,描述关键词,Tony,关键词,99861
Avengers: Age of Ultron,电影,描述关键词,Stark,关键词,99861
Avengers: Age of Ultron,电影,描述关键词,Earth,关键词,99861
Harry Potter and the Half-Blood Prince,电影,执导,David Yates,导演,767
Harry Potter and the Half-Blood Prince,电影,上映年份,2009年,年份,767
Harry Potter and the Half-Blood Prince,电影,制片国家,United Kingdom,国家,767
Harry Potter and the Half-Blood Prince,电影,评分,7.4分,评分值,767
Harry Potter and the Half-Blood Prince,电影,主演,Daniel Radcliffe,演员,767
Harry Potter and the Half-Blood Prince,电影,主演,Rupert Grint,演员,767
Harry Potter and the Half-Blood Prince,电影,主演,Emma Watson,演员,767
Harry Potter and the Half-Blood Prince,电影,主演,Tom Felton,演员,767
Harry Potter and the Half-Blood Prince,电影,主演,Michael Gambon,演员,767
Harry Potter and the Half-Blood Prince,电影,属于类型,Adventure,类型,767
Harry Potter and the Half-Blood Prince,电影,属于类型,Fantasy,类型,767
Harry Potter and the Half-Blood Prince,电影,属于类型,Family,类型,767
Harry Potter and the Half-Blood Prince,电影,描述关键词,Harry,关键词,767
Harry Potter and the Half-Blood Prince,电影,描述关键词,Hogwarts,关键词,767
Harry Potter and the Half-Blood Prince,电影,描述关键词,Property,关键词,767
Batman v Superman: Dawn of Justice,电影,执导,Zack Snyder,导演,209112
Batman v Superman: Dawn of Justice,电影,上映年份,2016年,年份,209112
Batman v Superman: Dawn of Justice,电影,制片国家,United States of America,国家,209112
Batman v Superman: Dawn of Justice,电影,评分,5.7分,评分值,209112
Batman v Superman: Dawn of Justice,电影,主演,Ben Affleck,演员,209112
Batman v Superman: Dawn of Justice,电影,主演,Henry Cavill,演员,209112
Batman v Superman: Dawn of Justice,电影,主演,Gal Gadot,演员,209112
Batman v Superman: Dawn of Justice,电影,主演,Amy Adams,演员,209112
Batman v Superman: Dawn of Justice,电影,主演,Jesse Eisenberg,演员,209112
Batman v Superman: Dawn of Justice,电影,属于类型,Action,类型,209112
Batman v Superman: Dawn of Justice,电影,属于类型,Adventure,类型,209112
Batman v Superman: Dawn of Justice,电影,属于类型,Fantasy,类型,209112
Batman v Superman: Dawn of Justice,电影,描述关键词,Fearing,关键词,209112
Batman v Superman: Dawn of Justice,电影,描述关键词,Super,关键词,209112
Batman v Superman: Dawn of Justice,电影,描述关键词,Hero,关键词,209112
Superman Returns,电影,执导,Bryan Singer,导演,1452
Superman Returns,电影,上映年份,2006年,年份,1452
Superman Returns,电影,制片国家,United States of America,国家,1452
Superman Returns,电影,评分,5.4分,评分值,1452
Superman Returns,电影,主演,Brandon Routh,演员,1452
Superman Returns,电影,主演,Kevin Spacey,演员,1452
Superman Returns,电影,主演,Kate Bosworth,演员,1452
Superman Returns,电影,主演,James Marsden,演员,1452
Superman Returns,电影,主演,Parker Posey,演员,1452
Superman Returns,电影,属于类型,Adventure,类型,1452
Superman Returns,电影,属于类型,Fantasy,类型,1452
Superman Returns,电影,属于类型,Action,类型,1452
Superman Returns,电影,属于类型,Science Fiction,类型,1452
Superman Returns,电影,描述关键词,Superman,关键词,1452
Superman Returns,电影,描述关键词,Lex,关键词,1452
Superman Returns,电影,描述关键词,Luthor,关键词,1452
Quantum of Solace,电影,执导,Marc Forster,导演,10764
Quantum of Solace,电影,上映年份,2008年,年份,10764
Quantum of Solace,电影,制片国家,United Kingdom,国家,10764
Quantum of Solace,电影,评分,6.1分,评分值,10764
Quantum of Solace,电影,主演,Daniel Craig,演员,10764
Quantum of Solace,电影,主演,Olga Kurylenko,演员,10764
Quantum of Solace,电影,主演,Mathieu Amalric,演员,10764
Quantum of Solace,电影,主演,Judi Dench,演员,10764
Quantum of Solace,电影,主演,Giancarlo Giannini,演员,10764
Quantum of Solace,电影,属于类型,Adventure,类型,10764
Quantum of Solace,电影,属于类型,Action,类型,10764
Quantum of Solace,电影,属于类型,Thriller,类型,10764
Quantum of Solace,电影,属于类型,Crime,类型,10764
Quantum of Solace,电影,描述关键词,Quantum,关键词,10764
Quantum of Solace,电影,描述关键词,Solace,关键词,10764
Quantum of Solace,电影,描述关键词,James,关键词,10764
Pirates of the Caribbean: Dead Man's Chest,电影,执导,Gore Verbinski,导演,58
Pirates of the Caribbean: Dead Man's Chest,电影,上映年份,2006年,年份,58
Pirates of the Caribbean: Dead Man's Chest,电影,制片国家,Jamaica,国家,58
Pirates of the Caribbean: Dead Man's Chest,电影,评分,7.0分,评分值,58
Pirates of the Caribbean: Dead Man's Chest,电影,主演,Johnny Depp,演员,58
Pirates of the Caribbean: Dead Man's Chest,电影,主演,Orlando Bloom,演员,58
Pirates of the Caribbean: Dead Man's Chest,电影,主演,Keira Knightley,演员,58
Pirates of the Caribbean: Dead Man's Chest,电影,主演,Stellan Skarsgård,演员,58
Pirates of the Caribbean: Dead Man's Chest,电影,主演,Bill Nighy,演员,58
Pirates of the Caribbean: Dead Man's Chest,电影,属于类型,Adventure,类型,58
Pirates of the Caribbean: Dead Man's Chest,电影,属于类型,Fantasy,类型,58
Pirates of the Caribbean: Dead Man's Chest,电影,属于类型,Action,类型,58
Pirates of the Caribbean: Dead Man's Chest,电影,描述关键词,Captain,关键词,58
Pirates of the Caribbean: Dead Man's Chest,电影,描述关键词,Jack,关键词,58
Pirates of the Caribbean: Dead Man's Chest,电影,描述关键词,Sparrow,关键词,58
The Lone Ranger,电影,执导,Gore Verbinski,导演,57201
The Lone Ranger,电影,上映年份,2013年,年份,57201
The Lone Ranger,电影,制片国家,United States of America,国家,57201
The Lone Ranger,电影,评分,5.9分,评分值,57201
The Lone Ranger,电影,主演,Johnny Depp,演员,57201
The Lone Ranger,电影,主演,Armie Hammer,演员,57201
The Lone Ranger,电影,主演,William Fichtner,演员,57201
The Lone Ranger,电影,主演,Helena Bonham Carter,演员,57201
The Lone Ranger,电影,主演,James Badge Dale,演员,57201
The Lone Ranger,电影,属于类型,Action,类型,57201
The Lone Ranger,电影,属于类型,Adventure,类型,57201
The Lone Ranger,电影,属于类型,Western,类型,57201
The Lone Ranger,电影,描述关键词,Texas,关键词,57201
The Lone Ranger,电影,描述关键词,Rangers,关键词,57201
The Lone Ranger,电影,描述关键词,Butch,关键词,57201
Man of Steel,电影,执导,Zack Snyder,导演,49521
Man of Steel,电影,上映年份,2013年,年份,49521
Man of Steel,电影,制片国家,United Kingdom,国家,49521
Man of Steel,电影,评分,6.5分,评分值,49521
Man of Steel,电影,主演,Henry Cavill,演员,49521
Man of Steel,电影,主演,Amy Adams,演员,49521
Man of Steel,电影,主演,Michael Shannon,演员,49521
Man of Steel,电影,主演,Kevin Costner,演员,49521
Man of Steel,电影,主演,Diane Lane,演员,49521
Man of Steel,电影,属于类型,Action,类型,49521
Man of Steel,电影,属于类型,Adventure,类型,49521
Man of Steel,电影,属于类型,Fantasy,类型,49521
Man of Steel,电影,属于类型,Science Fiction,类型,49521
The Chronicles of Narnia: Prince Caspian,电影,执导,Andrew Adamson,导演,2454
The Chronicles of Narnia: Prince Caspian,电影,上映年份,2008年,年份,2454
The Chronicles of Narnia: Prince Caspian,电影,制片国家,Czech Republic,国家,2454
The Chronicles of Narnia: Prince Caspian,电影,评分,6.3分,评分值,2454
The Chronicles of Narnia: Prince Caspian,电影,主演,Ben Barnes,演员,2454
The Chronicles of Narnia: Prince Caspian,电影,主演,William Moseley,演员,2454
The Chronicles of Narnia: Prince Caspian,电影,主演,Anna Popplewell,演员,2454
The Chronicles of Narnia: Prince Caspian,电影,主演,Skandar Keynes,演员,2454
The Chronicles of Narnia: Prince Caspian,电影,主演,Georgie Henley,演员,2454
The Chronicles of Narnia: Prince Caspian,电影,属于类型,Adventure,类型,2454
The Chronicles of Narnia: Prince Caspian,电影,属于类型,Family,类型,2454
The Chronicles of Narnia: Prince Caspian,电影,属于类型,Fantasy,类型,2454
The Chronicles of Narnia: Prince Caspian,电影,描述关键词,One,关键词,2454
The Chronicles of Narnia: Prince Caspian,电影,描述关键词,Lion,关键词,2454
The Chronicles of Narnia: Prince Caspian,电影,描述关键词,Witch,关键词,2454
The Avengers,电影,执导,Joss Whedon,导演,24428
The Avengers,电影,上映年份,2012年,年份,24428
The Avengers,电影,制片国家,United States of America,国家,24428
The Avengers,电影,评分,7.4分,评分值,24428
The Avengers,电影,主演,Robert Downey Jr.,演员,24428
The Avengers,电影,主演,Chris Evans,演员,24428
The Avengers,电影,主演,Mark Ruffalo,演员,24428
The Avengers,电影,主演,Chris Hemsworth,演员,24428
The Avengers,电影,主演,Scarlett Johansson,演员,24428
The Avengers,电影,属于类型,Science Fiction,类型,24428
The Avengers,电影,属于类型,Action,类型,24428
The Avengers,电影,属于类型,Adventure,类型,24428
The Avengers,电影,描述关键词,Nick,关键词,24428
The Avengers,电影,描述关键词,Fury,关键词,24428
The Avengers,电影,描述关键词,Spanning,关键词,24428
Pirates of the Caribbean: On Stranger Tides,电影,执导,Rob Marshall,导演,1865
Pirates of the Caribbean: On Stranger Tides,电影,上映年份,2011年,年份,1865
Pirates of the Caribbean: On Stranger Tides,电影,制片国家,United States of America,国家,1865
Pirates of the Caribbean: On Stranger Tides,电影,评分,6.4分,评分值,1865
Pirates of the Caribbean: On Stranger Tides,电影,主演,Johnny Depp,演员,1865
Pirates of the Caribbean: On Stranger Tides,电影,主演,Penélope Cruz,演员,1865
Pirates of the Caribbean: On Stranger Tides,电影,主演,Ian McShane,演员,1865
Pirates of the Caribbean: On Stranger Tides,电影,主演,Kevin McNally,演员,1865
Pirates of the Caribbean: On Stranger Tides,电影,主演,Geoffrey Rush,演员,1865
Pirates of the Caribbean: On Stranger Tides,电影,属于类型,Adventure,类型,1865
Pirates of the Caribbean: On Stranger Tides,电影,属于类型,Action,类型,1865
Pirates of the Caribbean: On Stranger Tides,电影,属于类型,Fantasy,类型,1865
Pirates of the Caribbean: On Stranger Tides,电影,描述关键词,Captain,关键词,1865
Pirates of the Caribbean: On Stranger Tides,电影,描述关键词,Jack,关键词,1865
Pirates of the Caribbean: On Stranger Tides,电影,描述关键词,Sparrow,关键词,1865
Men in Black 3,电影,执导,Barry Sonnenfeld,导演,41154
Men in Black 3,电影,上映年份,2012年,年份,41154
Men in Black 3,电影,制片国家,United States of America,国家,41154
Men in Black 3,电影,评分,6.2分,评分值,41154
Men in Black 3,电影,主演,Will Smith,演员,41154
Men in Black 3,电影,主演,Tommy Lee Jones,演员,41154
Men in Black 3,电影,主演,Josh Brolin,演员,41154
Men in Black 3,电影,主演,Michael Stuhlbarg,演员,41154
Men in Black 3,电影,主演,Emma Thompson,演员,41154
Men in Black 3,电影,属于类型,Action,类型,41154
Men in Black 3,电影,属于类型,Comedy,类型,41154
Men in Black 3,电影,属于类型,Science Fiction,类型,41154
Men in Black 3,电影,描述关键词,Agents,关键词,41154
Men in Black 3,电影,描述关键词,Smith,关键词,41154
Men in Black 3,电影,描述关键词,Tommy,关键词,41154
The Hobbit: The Battle of the Five Armies,电影,执导,Peter Jackson,导演,122917
The Hobbit: The Battle of the Five Armies,电影,上映年份,2014年,年份,122917
The Hobbit: The Battle of the Five Armies,电影,制片国家,New Zealand,国家,122917
The Hobbit: The Battle of the Five Armies,电影,评分,7.1分,评分值,122917
The Hobbit: The Battle of the Five Armies,电影,主演,Martin Freeman,演员,122917
The Hobbit: The Battle of the Five Armies,电影,主演,Ian McKellen,演员,122917
The Hobbit: The Battle of the Five Armies,电影,主演,Richard Armitage,演员,122917
The Hobbit: The Battle of the Five Armies,电影,主演,Ken Stott,演员,122917
The Hobbit: The Battle of the Five Armies,电影,主演,Graham McTavish,演员,122917
The Hobbit: The Battle of the Five Armies,电影,属于类型,Action,类型,122917
The Hobbit: The Battle of the Five Armies,电影,属于类型,Adventure,类型,122917
The Hobbit: The Battle of the Five Armies,电影,属于类型,Fantasy,类型,122917
The Hobbit: The Battle of the Five Armies,电影,描述关键词,Immediately,关键词,122917
The Hobbit: The Battle of the Five Armies,电影,描述关键词,Desolation,关键词,122917
The Hobbit: The Battle of the Five Armies,电影,描述关键词,Smaug,关键词,122917
The Amazing Spider-Man,电影,执导,Marc Webb,导演,1930
The Amazing Spider-Man,电影,上映年份,2012年,年份,1930
The Amazing Spider-Man,电影,制片国家,United States of America,国家,1930
The Amazing Spider-Man,电影,评分,6.5分,评分值,1930
The Amazing Spider-Man,电影,主演,Andrew Garfield,演员,1930
The Amazing Spider-Man,电影,主演,Emma Stone,演员,1930
The Amazing Spider-Man,电影,主演,Rhys Ifans,演员,1930
The Amazing Spider-Man,电影,主演,Denis Leary,演员,1930
The Amazing Spider-Man,电影,主演,Campbell Scott,演员,1930
The Amazing Spider-Man,电影,属于类型,Action,类型,1930
The Amazing Spider-Man,电影,属于类型,Adventure,类型,1930
The Amazing Spider-Man,电影,属于类型,Fantasy,类型,1930
The Amazing Spider-Man,电影,描述关键词,Peter,关键词,1930
The Amazing Spider-Man,电影,描述关键词,Parker,关键词,1930
The Amazing Spider-Man,电影,描述关键词,Uncle,关键词,1930
Robin Hood,电影,执导,Ridley Scott,导演,20662
Robin Hood,电影,上映年份,2010年,年份,20662
Robin Hood,电影,制片国家,United Kingdom,国家,20662
Robin Hood,电影,评分,6.2分,评分值,20662
Robin Hood,电影,主演,Russell Crowe,演员,20662
Robin Hood,电影,主演,Cate Blanchett,演员,20662
Robin Hood,电影,主演,Max von Sydow,演员,20662
Robin Hood,电影,主演,William Hurt,演员,20662
Robin Hood,电影,主演,Mark Strong,演员,20662
Robin Hood,电影,属于类型,Action,类型,20662
Robin Hood,电影,属于类型,Adventure,类型,20662
Robin Hood,电影,描述关键词,Robin,关键词,20662
Robin Hood,电影,描述关键词,Robert,关键词,20662
Robin Hood,电影,描述关键词,Loxley,关键词,20662
The Hobbit: The Desolation of Smaug,电影,执导,Peter Jackson,导演,57158
The Hobbit: The Desolation of Smaug,电影,上映年份,2013年,年份,57158
The Hobbit: The Desolation of Smaug,电影,制片国家,New Zealand,国家,57158
The Hobbit: The Desolation of Smaug,电影,评分,7.6分,评分值,57158
The Hobbit: The Desolation of Smaug,电影,主演,Martin Freeman,演员,57158
The Hobbit: The Desolation of Smaug,电影,主演,Ian McKellen,演员,57158
The Hobbit: The Desolation of Smaug,电影,主演,Richard Armitage,演员,57158
The Hobbit: The Desolation of Smaug,电影,主演,Ken Stott,演员,57158
The Hobbit: The Desolation of Smaug,电影,主演,Graham McTavish,演员,57158
The Hobbit: The Desolation of Smaug,电影,属于类型,Adventure,类型,57158
The Hobbit: The Desolation of Smaug,电影,属于类型,Fantasy,类型,57158
The Hobbit: The Desolation of Smaug,电影,描述关键词,Dwarves,关键词,57158
The Hobbit: The Desolation of Smaug,电影,描述关键词,Bilbo,关键词,57158
The Hobbit: The Desolation of Smaug,电影,描述关键词,Gandalf,关键词,57158
The Golden Compass,电影,执导,Chris Weitz,导演,2268
The Golden Compass,电影,上映年份,2007年,年份,2268
The Golden Compass,电影,制片国家,United Kingdom,国家,2268
The Golden Compass,电影,评分,5.8分,评分值,2268
The Golden Compass,电影,主演,Dakota Blue Richards,演员,2268
The Golden Compass,电影,主演,Nicole Kidman,演员,2268
The Golden Compass,电影,主演,Daniel Craig,演员,2268
The Golden Compass,电影,主演,Sam Elliott,演员,2268
The Golden Compass,电影,主演,Eva Green,演员,2268
The Golden Compass,电影,属于类型,Adventure,类型,2268
The Golden Compass,电影,属于类型,Fantasy,类型,2268
The Golden Compass,电影,描述关键词,Lyra,关键词,2268
The Golden Compass,电影,描述关键词,Belacqua,关键词,2268
The Golden Compass,电影,描述关键词,Jordan,关键词,2268
King Kong,电影,执导,Peter Jackson,导演,254
King Kong,电影,上映年份,2005年,年份,254
King Kong,电影,制片国家,New Zealand,国家,254
King Kong,电影,评分,6.6分,评分值,254
King Kong,电影,主演,Naomi Watts,演员,254
King Kong,电影,主演,Jack Black,演员,254
King Kong,电影,主演,Adrien Brody,演员,254
King Kong,电影,主演,Thomas Kretschmann,演员,254
King Kong,电影,主演,Colin Hanks,演员,254
King Kong,电影,属于类型,Adventure,类型,254
King Kong,电影,属于类型,Drama,类型,254
King Kong,电影,属于类型,Action,类型,254
King Kong,电影,描述关键词,York,关键词,254
King Kong,电影,描述关键词,Skull,关键词,254
King Kong,电影,描述关键词,Island,关键词,254
Titanic,电影,执导,James Cameron,导演,597
Titanic,电影,上映年份,1997年,年份,597
Titanic,电影,制片国家,United States of America,国家,597
Titanic,电影,评分,7.5分,评分值,597
Titanic,电影,主演,Kate Winslet,演员,597
Titanic,电影,主演,Leonardo DiCaprio,演员,597
Titanic,电影,主演,Frances Fisher,演员,597
Titanic,电影,主演,Billy Zane,演员,597
Titanic,电影,主演,Kathy Bates,演员,597
Titanic,电影,属于类型,Drama,类型,597
Titanic,电影,属于类型,Romance,类型,597
Titanic,电影,属于类型,Thriller,类型,597
Titanic,电影,描述关键词,Rose,关键词,597
Titanic,电影,描述关键词,Witt,关键词,597
Titanic,电影,描述关键词,Bukater,关键词,597
Captain America: Civil War,电影,执导,Anthony Russo,导演,271110
Captain America: Civil War,电影,上映年份,2016年,年份,271110
Captain America: Civil War,电影,制片国家,United States of America,国家,271110
Captain America: Civil War,电影,评分,7.1分,评分值,271110
Captain America: Civil War,电影,主演,Chris Evans,演员,271110
Captain America: Civil War,电影,主演,Robert Downey Jr.,演员,271110
Captain America: Civil War,电影,主演,Scarlett Johansson,演员,271110
Captain America: Civil War,电影,主演,Sebastian Stan,演员,271110
Captain America: Civil War,电影,主演,Anthony Mackie,演员,271110
Captain America: Civil War,电影,属于类型,Adventure,类型,271110
Captain America: Civil War,电影,属于类型,Action,类型,271110
Captain America: Civil War,电影,属于类型,Science Fiction,类型,271110
Captain America: Civil War,电影,描述关键词,Age,关键词,271110
Captain America: Civil War,电影,描述关键词,Ultron,关键词,271110
Captain America: Civil War,电影,描述关键词,Avengers,关键词,271110
Battleship,电影,执导,Peter Berg,导演,44833
Battleship,电影,上映年份,2012年,年份,44833
Battleship,电影,制片国家,United States of America,国家,44833
Battleship,电影,评分,5.5分,评分值,44833
Battleship,电影,主演,Taylor Kitsch,演员,44833
Battleship,电影,主演,Alexander Skarsgård,演员,44833
Battleship,电影,主演,Rihanna,演员,44833
Battleship,电影,主演,Brooklyn Decker,演员,44833
Battleship,电影,主演,Tadanobu Asano,演员,44833
Battleship,电影,属于类型,Thriller,类型,44833
Battleship,电影,属于类型,Action,类型,44833
Battleship,电影,属于类型,Adventure,类型,44833
Battleship,电影,属于类型,Science Fiction,类型,44833
Battleship,电影,描述关键词,Planet,关键词,44833
Battleship,电影,描述关键词,Hawaii,关键词,44833
Battleship,电影,描述关键词,Lieutenant,关键词,44833
Jurassic World,电影,执导,Colin Trevorrow,导演,135397
Jurassic World,电影,上映年份,2015年,年份,135397
Jurassic World,电影,制片国家,United States of America,国家,135397
Jurassic World,电影,评分,6.5分,评分值,135397
Jurassic World,电影,主演,Chris Pratt,演员,135397
Jurassic World,电影,主演,Bryce Dallas Howard,演员,135397
Jurassic World,电影,主演,Irrfan Khan,演员,135397
Jurassic World,电影,主演,Vincent D'Onofrio,演员,135397
Jurassic World,电影,主演,Nick Robinson,演员,135397
Jurassic World,电影,属于类型,Action,类型,135397
Jurassic World,电影,属于类型,Adventure,类型,135397
Jurassic World,电影,属于类型,Science Fiction,类型,135397
Jurassic World,电影,属于类型,Thriller,类型,135397
Jurassic World,电影,描述关键词,Twenty,关键词,135397
Jurassic World,电影,描述关键词,Jurassic,关键词,135397
Jurassic World,电影,描述关键词,Park,关键词,135397
Skyfall,电影,执导,Sam Mendes,导演,37724
Skyfall,电影,上映年份,2012年,年份,37724
Skyfall,电影,制片国家,United Kingdom,国家,37724
Skyfall,电影,评分,6.9分,评分值,37724
Skyfall,电影,主演,Daniel Craig,演员,37724
Skyfall,电影,主演,Judi Dench,演员,37724
Skyfall,电影,主演,Javier Bardem,演员,37724
Skyfall,电影,主演,Ralph Fiennes,演员,37724
Skyfall,电影,主演,Naomie Harris,演员,37724
Skyfall,电影,属于类型,Action,类型,37724
Skyfall,电影,属于类型,Adventure,类型,37724
Skyfall,电影,属于类型,Thriller,类型,37724
Skyfall,电影,描述关键词,Bond,关键词,37724
Skyfall,电影,描述关键词,Gareth,关键词,37724
Skyfall,电影,描述关键词,Mallory,关键词,37724
Spider-Man 2,电影,执导,Sam Raimi,导演,558
Spider-Man 2,电影,上映年份,2004年,年份,558
Spider-Man 2,电影,制片国家,United States of America,国家,558
Spider-Man 2,电影,评分,6.7分,评分值,558
Spider-Man 2,电影,主演,Tobey Maguire,演员,558
Spider-Man 2,电影,主演,Kirsten Dunst,演员,558
Spider-Man 2,电影,主演,James Franco,演员,558
Spider-Man 2,电影,主演,Alfred Molina,演员,558
Spider-Man 2,电影,主演,Rosemary Harris,演员,558
Spider-Man 2,电影,属于类型,Action,类型,558
Spider-Man 2,电影,属于类型,Adventure,类型,558
Spider-Man 2,电影,属于类型,Fantasy,类型,558
Spider-Man 2,电影,描述关键词,Peter,关键词,558
Spider-Man 2,电影,描述关键词,Parker,关键词,558
Spider-Man 2,电影,描述关键词,Burned,关键词,558
Iron Man 3,电影,执导,Shane Black,导演,68721
Iron Man 3,电影,上映年份,2013年,年份,68721
Iron Man 3,电影,制片国家,China,国家,68721
Iron Man 3,电影,评分,6.8分,评分值,68721
